machine,note,budget,seconds,speedup_vs_laptop_core,log10_core_seconds,priced_in,k_max_W2,k_max_W4,k_max_W16,k_max_W100
"laptop, 1 core","this machine, single-threaded (the shipped attack)",1 hour,3600.0,1.0,3.5563025007672873,seconds,16.820928086601615,9.310943162520228,5.335702353133566,3.678987388589884
"laptop, 1 core","this machine, single-threaded (the shipped attack)",1 day,86400.0,1.0,4.936513742478893,seconds,21.092895456067215,11.464322845384283,6.423119362784459,4.339038743403257
"laptop, 1 core","this machine, single-threaded (the shipped attack)",1 year,31560000.0,1.0,7.499136994537383,seconds,29.15389224130457,15.514996688098474,8.461637094592156,5.5735865169460705
"laptop, 14 cores","this machine, fully parallel",1 hour,3600.0,14.0,4.702430536445525,seconds,20.364305721568304,11.097027152800461,6.237853578600216,4.226595737793531
"laptop, 14 cores","this machine, fully parallel",1 day,86400.0,14.0,6.082641778157131,seconds,24.681610530242473,13.26892572218513,7.3321050417346765,4.889586915265113
"laptop, 14 cores","this machine, fully parallel",1 year,31560000.0,14.0,8.64526503021562,seconds,32.79584184162904,17.342119639201936,9.379371336569704,6.128175632916631
GPU (A100 80GB),"NVIDIA A100, fp64 vector peak",1 hour,3600.0,151.5625,5.7368942610496445,seconds,23.59586804083722,12.723190523805021,7.056904734698085,4.72350541516756
GPU (A100 80GB),"NVIDIA A100, fp64 vector peak",1 day,86400.0,151.5625,7.117105502761251,seconds,27.94417759409065,14.907570936347602,8.156191850879061,5.388923516594647
GPU (A100 80GB),"NVIDIA A100, fp64 vector peak",1 year,31560000.0,151.5625,9.67972875481974,seconds,36.09707021883023,18.997193597052945,10.210083785777316,6.63049381621947
Top500 #1 (El Capitan),"HPL Rmax, Top500 Nov-2024/Jun-2025",1 hour,3600.0,27218750.0,10.991170677455045,seconds,40.29816231276533,21.10269842205155,11.266244695938841,7.268239363801004
Top500 #1 (El Capitan),"HPL Rmax, Top500 Nov-2024/Jun-2025",1 day,86400.0,27218750.0,12.37138191916665,seconds,44.73527980175622,23.325595351969348,12.38069270040727,7.940782002692277
Top500 #1 (El Capitan),"HPL Rmax, Top500 Nov-2024/Jun-2025",1 year,31560000.0,27218750.0,14.93400517122514,seconds,53.00736775392012,27.46781079398878,14.456206558524984,9.193173234935347
Lloyd's ultimate laptop,"1 kg, 1 litre at the Margolus-Levitin limit (Lloyd 2000)",1 hour,3600.0,8.4375e+39,43.48251628660637,seconds,146.39208050796452,74.18246397649644,37.830334823096415,23.276677795140678
Lloyd's ultimate laptop,"1 kg, 1 litre at the Margolus-Levitin limit (Lloyd 2000)",1 day,86400.0,8.4375e+39,44.862727528317976,seconds,150.93320764658594,76.4534348971961,38.966117391705545,23.96067662585551
Lloyd's ultimate laptop,"1 kg, 1 litre at the Margolus-Levitin limit (Lloyd 2000)",1 year,31560000.0,8.4375e+39,47.42535078037646,seconds,159.3680257412462,80.6715208801577,41.07570137283187,25.231154791008162
the observable universe,Lloyd 2002: <=1e120 operations on <=1e90 bits over its whole history,all of time,inf,inf,inf,total operations,369.17783373479347,185.5812165745729,93.53396937272217,56.81633251723143
