p_s,shape,rep,stake_top1_hit,stake_top_jaccard,stake_confidence,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.01,1.3333333333333333,0,1.0,0.4009157509157509,0.01424,296.055532837656,,,,,,,,
0.01,1.3333333333333333,1,1.0,0.2884033613445378,0.01528,296.73669024218526,,,,,,,,
0.01,1.3333333333333333,2,0.68,0.4902564102564102,0.015960000000000002,295.48477419201384,,,,,,,,
0.01,1.3333333333333333,3,0.92,0.38141779788838615,0.01684,295.8649214890497,,,,,,,,
0.01,1.3333333333333333,4,0.96,0.5413519813519813,0.01784,296.9454685997417,,,,,,,,
0.01,1.3333333333333333,5,1.0,0.342014652014652,0.01072,297.4325471245066,,,,,,,,
0.01,1.3333333333333333,6,1.0,0.3369123033828916,0.012400000000000001,295.83519380327533,,,,,,,,
0.01,1.3333333333333333,7,1.0,0.6310356310356311,0.01468,296.4004842020741,,,,,,,,
0.01,1.3333333333333333,8,0.84,0.6478854478854479,0.017560000000000003,295.22831276146775,,,,,,,,
0.01,1.3333333333333333,9,1.0,0.3559857789269554,0.016,296.5874049344051,,,,,,,,
0.01,1.3333333333333333,10,1.0,0.7113286713286713,0.01572,296.4633959499856,,,,,,,,
0.01,1.3333333333333333,11,1.0,0.42410256410256403,0.01476,295.56332266717146,,,,,,,,
0.01,1.3333333333333333,12,1.0,0.3758241758241758,0.0146,297.3318748332619,,,,,,,,
0.01,1.3333333333333333,13,1.0,0.3754837319543202,0.017400000000000002,296.3367410550307,,,,,,,,
0.01,1.3333333333333333,14,1.0,0.38186813186813184,0.015560000000000001,296.47682067099663,,,,,,,,
0.01,1.3333333333333333,15,0.52,0.4109157509157509,0.01752,296.0980629899707,,,,,,,,
0.01,1.3333333333333333,16,1.0,0.35851325145442786,0.0158,296.20112829671007,,,,,,,,
0.01,1.3333333333333333,17,0.48,0.45919413919413915,0.01512,296.77941447322985,,,,,,,,
0.01,1.3333333333333333,18,1.0,0.34279896574014224,0.015880000000000002,295.746181814095,,,,,,,,
0.01,1.3333333333333333,19,1.0,0.33492350786468433,0.01516,296.7275723789911,,,,,,,,
0.01,1.3333333333333333,20,1.0,0.34391941391941394,0.01456,295.70598242330504,,,,,,,,
0.01,1.3333333333333333,21,0.32,0.23887739711269124,0.01496,295.9311974844812,,,,,,,,
0.01,1.3333333333333333,22,1.0,0.19130718954248366,0.00776,297.49274731571035,,,,,,,,
0.01,1.3333333333333333,23,1.0,0.46494505494505495,0.01692,295.661037166944,,,,,,,,
0.01,1.3333333333333333,24,1.0,0.3200517129928895,0.01708,295.7585525770417,,,,,,,,
0.01,1.3333333333333333,25,0.48,0.5407126207126207,0.0166,295.902327821622,,,,,,,,
0.01,1.3333333333333333,26,0.96,0.3361064425770308,0.016720000000000002,295.9775891179941,,,,,,,,
0.01,1.3333333333333333,27,0.72,0.2879178338001867,0.01844,295.4983727741221,,,,,,,,
0.01,1.3333333333333333,28,1.0,0.36556776556776555,0.0152,296.2537513633617,,,,,,,,
0.01,1.3333333333333333,29,0.84,0.37186813186813183,0.017240000000000002,296.69397315760006,,,,,,,,
0.01,1.3333333333333333,30,1.0,0.5097968697968698,0.01552,296.0400966095239,,,,,,,,
0.01,1.3333333333333333,31,0.8,0.36526395173453996,0.01768,295.0956973198527,,,,,,,,
0.01,1.3333333333333333,32,1.0,0.3503296703296703,0.0128,294.9540243228719,,,,,,,,
0.01,1.3333333333333333,33,0.76,0.3875457875457875,0.01548,296.2126243978699,,,,,,,,
0.01,1.3333333333333333,34,0.76,0.38670473317532134,0.01548,295.6861547241783,,,,,,,,
0.01,1.3333333333333333,35,1.0,0.48620712620712625,0.01624,295.76889734767093,,,,,,,,
0.01,1.3333333333333333,36,0.72,0.22439775910364143,0.01636,295.47617555254226,,,,,,,,
0.01,1.3333333333333333,37,1.0,0.5553646353646353,0.015560000000000001,295.8488750719942,,,,,,,,
0.01,1.3333333333333333,38,0.42,0.37901098901098895,0.01624,296.1710653950373,,,,,,,,
0.01,1.3333333333333333,39,1.0,0.37948717948717947,0.01616,295.2627725277319,,,,,,,,
0.01,1.3333333333333333,40,1.0,0.3818939883645766,0.016720000000000002,296.2100142468642,,,,,,,,
0.01,1.3333333333333333,41,0.44,0.16764165315248902,0.01692,295.9028227742498,,,,,,,,
0.01,1.3333333333333333,42,1.0,0.5901964701964701,0.01452,295.66691543655395,,,,,,,,
