p_s,shape,rep,stake_top1_hit,stake_top_jaccard,stake_confidence,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.01,1.3333333333333333,0,1.0,1.0,0.16759999999999997,30.567817313770142,,,,,,,,
0.01,1.3333333333333333,1,1.0,1.0,0.14279999999999998,30.5147533562301,,,,,,,,
0.01,1.3333333333333333,2,1.0,1.0,0.1288,30.49530650267383,,,,,,,,
0.01,1.3333333333333333,3,1.0,1.0,0.152,30.43145013651675,,,,,,,,
0.01,1.3333333333333333,4,1.0,1.0,0.1496,30.490296630507142,,,,,,,,
0.01,1.3333333333333333,5,1.0,1.0,0.1584,30.51853013853308,,,,,,,,
0.01,1.3333333333333333,6,1.0,1.0,0.13720000000000002,30.503196235371725,,,,,,,,
0.01,1.3333333333333333,7,0.88,0.88,0.16720000000000002,30.502529694107483,,,,,,,,
0.01,1.3333333333333333,8,1.0,1.0,0.1288,30.56102984370477,,,,,,,,
0.01,1.3333333333333333,9,1.0,1.0,0.1396,30.458129376453275,,,,,,,,
0.01,1.3333333333333333,10,1.0,1.0,0.15,30.53173022698133,,,,,,,,
0.01,1.3333333333333333,11,1.0,1.0,0.12200000000000001,30.55116840247949,,,,,,,,
0.01,1.3333333333333333,12,1.0,1.0,0.1476,30.496164017119874,,,,,,,,
0.01,1.3333333333333333,13,1.0,1.0,0.1416,30.58506782163079,,,,,,,,
0.01,1.3333333333333333,14,1.0,1.0,0.1328,30.477490354584152,,,,,,,,
0.01,1.3333333333333333,15,1.0,1.0,0.1564,30.47674247075448,,,,,,,,
0.01,1.3333333333333333,16,0.96,0.96,0.15,30.549199298507098,,,,,,,,
0.01,1.3333333333333333,17,1.0,1.0,0.13879999999999998,30.473194659995514,,,,,,,,
0.01,1.3333333333333333,18,0.64,0.64,0.15280000000000002,30.496758196522855,,,,,,,,
0.01,1.3333333333333333,19,1.0,1.0,0.154,30.601864914192383,,,,,,,,
0.01,1.3333333333333333,20,0.6,0.6,0.14800000000000002,30.39243230598746,,,,,,,,
0.01,1.3333333333333333,21,0.96,0.96,0.16,30.421702770057447,,,,,,,,
0.01,1.3333333333333333,22,1.0,1.0,0.14200000000000002,30.521207921257883,,,,,,,,
0.01,1.3333333333333333,23,1.0,1.0,0.11239999999999999,30.550722926988765,,,,,,,,
0.01,1.3333333333333333,24,0.5,0.52,0.15,30.432838296821792,,,,,,,,
0.01,1.3333333333333333,25,1.0,1.0,0.15760000000000002,30.456515687781884,,,,,,,,
0.01,1.3333333333333333,26,0.72,0.72,0.1524,30.49416678786388,,,,,,,,
0.01,1.3333333333333333,27,1.0,1.0,0.10799999999999998,30.484595779303472,,,,,,,,
