measure,series_col,x_col,N,T,f,paired,stake_draws,table_hash,series_val,x_val,rep,theory,sim,theory_sem
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.01,-1,0.8122833722321876,,0.013152027720000861
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.025,-1,0.6964842110553553,,0.01718957643592111
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.0333,-1,0.647387211700974,,0.018424873845972366
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.05,-1,0.5725432368668918,,0.0197382114407375
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.075,-1,0.49201185580984763,,0.0201979530369124
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.1,-1,0.43060091951901297,,0.019966642189077642
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.125,-1,0.3806912327057108,,0.019478187530437972
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.15,-1,0.33924349366678513,,0.018905650144560453
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.175,-1,0.30462053590815413,,0.01833765152219128
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.2,-1,0.27560795860930987,,0.01781542581816214
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.01,-1,0.011547617584611935,,0.002756708980261668
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.025,-1,0.005046579493403447,,0.0024504539517603867
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.0333,-1,0.004176207900728069,,0.0022618839409194336
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.05,-1,0.003000649934541225,,0.0016698399951120273
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.075,-1,0.0019512215796258345,,0.0009576198301479653
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.1,-1,0.0014073377607709983,,0.0005707234254388505
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.125,-1,0.001108354297286549,,0.00036385580889866995
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.15,-1,0.0009295345268713656,,0.0002463985078233505
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.175,-1,0.0008141138809121437,,0.0001752598254097285
stake_top1_hit,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.2,-1,0.0007347578243368235,,0.00012966780633465113
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.01,-1,0.005035898285904503,,1.827149099733667e-05
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.025,-1,0.003218341326938716,,1.129762201448007e-05
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.0333,-1,0.0027763976670987017,,9.008098958386725e-06
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.05,-1,0.0022771604228473234,,8.635048333972534e-06
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.075,-1,0.001856826893455199,,7.863372884164644e-06
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.1,-1,0.0016106700018644826,,7.311910234166847e-06
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.125,-1,0.0014477729878355399,,7.055141727564585e-06
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.15,-1,0.0013344806366269745,,6.5566113639401454e-06
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.175,-1,0.0012492097330217807,,5.8761007934528375e-06
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,1.3333333333333333,0.2,-1,0.0011826790491379013,,5.079973372274003e-06
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.01,-1,0.005968467941640838,,4.236293424239258e-06
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.025,-1,0.0038193097532033347,,2.7368321565356335e-06
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.0333,-1,0.0032835129147101593,,2.424338990506807e-06
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.05,-1,0.002748286838798402,,1.7407450835895052e-06
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.075,-1,0.0022284938094090678,,2.1573496372795044e-06
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.1,-1,0.0018118951323877759,,2.2331065990160214e-06
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.125,-1,0.0015117029036693169,,1.8247849940402958e-06
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.15,-1,0.00128316764994151,,1.4402890615041816e-06
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.175,-1,0.0011015556413043464,,1.2534864374987374e-06
stake_confidence,shape,p_s,3000,388800,0.03333333333333333,False,400,,3.0,0.2,-1,0.0009543302925246549,,1.0570213207966557e-06
