p_s,mix_scale,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
0.01,0.0001,0,0.9754845629357236,0.9683925869842536,0.07080907112218304,298.6948594192906,0.324613964301534,2.291876607863255,0.028122689283097184,0.00017500000000000003,0.0,0.00017500000000000003,160.70108161769818,0.0062227334746816606
0.01,0.0001,1,0.9760866295683561,0.968131341889798,0.07045074620021514,293.33004963152354,0.22725655348040164,1.9186461487914772,0.029069663370199225,0.00017500000000000003,0.0,0.00017500000000000003,166.1123621154241,0.006020021552069342
0.01,0.0001,2,0.9706419227258899,0.9643725419433172,0.077552553115806,296.98562519014297,0.2326627230795566,1.9164372969686445,0.02749701227731532,0.00017500000000000003,0.0,0.00017500000000000003,157.1257844418018,0.006364327812602853
0.01,0.0001,3,0.9672044232371431,0.9600665949332481,0.08700614289793361,295.38938120124214,0.3046334335231222,2.2025192300715615,0.02909269322239223,0.00017500000000000003,0.0,0.00017500000000000003,166.24396127081272,0.006015256087233101
0.01,0.0001,4,0.9690981229971005,0.9636067092032553,0.07897666783075025,297.5962154738288,0.24024602372082882,1.9408639816656972,0.0290733325089518,0.00017500000000000003,0.0,0.00017500000000000003,166.1333286225817,0.006019261807916818
0.01,0.0001,5,0.9700740514543095,0.9601764056001874,0.08877124639107586,297.6263836934117,0.2751679933280684,2.08371666409385,0.029542587026107032,0.00017500000000000003,0.0,0.00017500000000000003,168.81478300632588,0.005923651840150325
0.01,0.0001,6,0.9792323667410199,0.9721488628194334,0.06273972066872693,300.0853780478425,0.2162130473589059,1.869489221309697,0.030375396240100036,0.00017500000000000003,0.0,0.00017500000000000003,173.57369280057162,0.00576124171736644
0.01,0.0001,7,0.9749885268471776,0.9675264448010251,0.07186498186165127,298.05667737494264,0.2988348239741754,2.20610427544558,0.029219150670837964,0.00017500000000000003,0.0,0.00017500000000000003,166.9665752619312,0.005989222683828998
0.01,0.0001,8,0.9743706399757355,0.9662530333625293,0.07382399188974059,295.84614801334544,0.2332777694973629,1.9250836217552039,0.029204917412935297,0.00017500000000000003,0.0,0.00017500000000000003,166.88524235963024,0.00599214158100957
0.01,0.0001,9,0.9753304641869044,0.9676057250051542,0.07256990911754634,299.5371195819244,0.22420142442570068,1.8952246150168885,0.02957008869096884,0.00017500000000000003,0.0,0.00017500000000000003,168.97193537696478,0.005918142546980176
0.01,0.0001,10,0.9732827324478178,0.9655254426670528,0.07529210940567246,296.10322580645163,0.3167804576805793,2.2640229833291845,0.028818471489476527,0.00017500000000000003,0.0,0.00017500000000000003,164.67697993986584,0.006072494166246942
0.01,0.0001,11,0.9710520301668317,0.9639120707399788,0.0794500512274637,297.0450217109774,0.2499951243516989,1.9930521437896411,0.028725897920021178,0.00017500000000000003,0.0,0.00017500000000000003,164.1479881144067,0.006092063701097738
0.01,0.0001,12,0.9743141576107607,0.965695643719602,0.07665611185189505,296.4234364313398,0.1956153652863577,1.7660035367967053,0.029406453040140643,0.00017500000000000003,0.0,0.00017500000000000003,168.03687451508938,0.005951074744074712
0.01,0.0001,13,0.9753869384673461,0.9669184265719736,0.07373442754513344,294.30796526991315,0.18912830302724615,1.759814197229164,0.02734402711125191,0.00017500000000000003,0.0,0.00017500000000000003,156.25158349286804,0.006399935140789431
0.01,0.0001,14,0.975552528004844,0.9661808500806619,0.0765325260258866,295.322812594611,0.21242108545266092,1.8490922058378876,0.028548737979880077,0.00017500000000000003,0.0,0.00017500000000000003,163.1356455993147,0.006129868161714626
0.01,0.0001,15,0.9720295709168508,0.9637857941679426,0.08083575077502413,297.2290983918909,0.26196477745543234,2.0244474858878516,0.028234976775999336,0.00017500000000000003,0.0,0.00017500000000000003,161.3427244342819,0.0061979863269714395
0.01,0.0001,16,0.9762641100974176,0.969325899901413,0.06811468291242274,301.43946188340806,0.22777285348274745,1.9032477071919702,0.03095433901097934,0.00017500000000000003,0.0,0.00017500000000000003,176.8819372055962,0.0056534885121574865
0.01,0.0001,17,0.9733611304146398,0.9653722508805351,0.0791824403709927,301.40529688827115,0.2374906613258645,1.9467999035417405,0.02919142451935952,0.00017500000000000003,0.0,0.00017500000000000003,166.8081401106258,0.005994911275533725
0.01,0.0001,18,0.9713061443109648,0.9630311916257877,0.0818307471634978,298.63118830821026,0.24735112217604183,1.9960474482243695,0.028292285282433032,0.00017500000000000003,0.0,0.00017500000000000003,161.670201613903,0.006185431761804668
0.01,0.0001,19,0.9705323915850231,0.9620977765641782,0.08494658151140948,296.1490848332954,0.30140411359025165,2.19046168082381,0.03103026066269557,0.00017500000000000003,0.0,0.00017500000000000003,177.31577521540322,0.0056396561376741575
0.01,0.0001,20,0.9719346675868415,0.9616092310481946,0.08774651523262442,298.75116938885054,0.18483618382015266,1.7329215521031225,0.02908015452117122,0.00017500000000000003,0.0,0.00017500000000000003,166.17231154954982,0.006017849728844968
0.01,0.0001,21,0.9725137808653629,0.9646611382082961,0.07921165558529421,294.67937778448993,0.24965311484993435,1.983619358421862,0.031325107890287744,0.00017500000000000003,0.0,0.00017500000000000003,179.00061651592995,0.0055865729373675435
0.01,0.0001,22,0.9724069403042116,0.9686987536188959,0.07310328677497098,298.35557593824046,0.22728721887688152,1.8808903740497311,0.028432805035828224,0.00017500000000000003,0.0,0.00017500000000000003,162.4731716333041,0.006154862307094999
0.01,0.0001,23,0.9732183732641538,0.9653675074345648,0.07745628909603465,297.6461925835495,0.27734700543805957,2.099820120666946,0.02954793500627631,0.00017500000000000003,0.0,0.00017500000000000003,168.84534289300746,0.0059225796984739565
0.01,0.0001,24,0.9712495103799451,0.9622280281723355,0.08395071097969418,305.64543674108893,0.2182893252465874,1.8754428880579226,0.029024991148100206,0.00017500000000000003,0.0,0.00017500000000000003,165.8570922748583,0.006029286937834413
0.01,0.0001,25,0.9698442840865933,0.9621745085937567,0.08388591818384185,296.25529813900494,0.23578092380193993,1.9324188528300619,0.028139415409770812,0.00017500000000000003,0.0,0.00017500000000000003,160.7966594844046,0.006219034669044155
0.01,0.0001,26,0.9719092684392369,0.964792887057678,0.07934666779446373,292.7387712182665,0.25759789274889044,2.0319426049596045,0.028720532422113882,0.00017500000000000003,0.0,0.00017500000000000003,164.117328126365,0.0060932018051746036
0.01,0.0001,27,0.9712867506681939,0.9629805455735898,0.08052793410183157,297.7686903398244,0.2752796788699925,2.0830713394678098,0.026539393204145192,0.00017500000000000003,0.0,0.00017500000000000003,151.65367545225823,0.006593971408987103
0.01,0.0001,28,0.9733929654335961,0.9640307618950597,0.0795781007416207,295.8840206185567,0.23875398316886276,1.9392985704724004,0.03135740434098833,0.00017500000000000003,0.0,0.00017500000000000003,179.18516766279046,0.0055808190657940255
0.01,0.0001,29,0.9720417107450506,0.9625994483455942,0.08434690234686831,294.9494483905093,0.23274604303878732,1.9261282799691264,0.028210274001324878,0.00017500000000000003,0.0,0.00017500000000000003,161.2015657218564,0.006203413692181127
0.01,0.001,0,0.7883512955744095,0.7420768960085303,0.606665178610219,298.1459909806619,0.20962488756049424,1.833545860723409,0.030068270001809776,0.00175,0.0,0.00175,17.18186857246273,0.058200887510145065
0.01,0.001,1,0.7767932167137728,0.7231876305830798,0.6681372852928797,298.1232144221221,0.2700041513016913,2.0859893357378994,0.03186847128098276,0.00175,0.0,0.00175,18.210555017704433,0.05491320824806233
0.01,0.001,2,0.8320773388140367,0.7969948419622691,0.47485477687987837,296.9299687904392,0.2590161465050187,2.028553658749426,0.028421505107611253,0.00175,0.0,0.00175,16.240860061492143,0.06157309380252883
0.01,0.001,3,0.7787456445993032,0.7291673808796761,0.649855304166016,295.39077412513257,0.22949104168219492,1.9288041057459588,0.030343748122276387,0.00175,0.0,0.00175,17.339284641300793,0.0576725061435395
0.01,0.001,4,0.7726618705035971,0.7237088327233787,0.657309023775047,295.367285119273,0.2331487788760569,1.9209142417040779,0.02871420257162309,0.00175,0.0,0.00175,16.408115755213196,0.06094545010034315
0.01,0.001,5,0.7971478685274156,0.7470620735551641,0.6046851275290356,297.5622664531381,0.1868934640660882,1.734764050192286,0.03102093000616403,0.00175,0.0,0.00175,17.726245717808016,0.056413524663904834
0.01,0.001,6,0.7891908490710886,0.7378965412321413,0.625734093517884,299.3815446031015,0.24429611294181086,1.9694237025154586,0.02982050427552543,0.00175,0.0,0.00175,17.040288157443104,0.058684453617247404
0.01,0.001,7,0.764345830145371,0.7163946276323118,0.6831952188603795,298.49364957918897,0.20843864328344353,1.8241628146060185,0.028066526326141948,0.00175,0.0,0.00175,16.038015043509684,0.06235185571824758
0.01,0.001,8,0.7875997544505832,0.7375257829656386,0.6245539454585344,299.5267034990792,0.19305211055325344,1.7565140937136356,0.029427578054747126,0.00175,0.0,0.00175,16.815758888426927,0.05946802678576866
0.01,0.001,9,0.7742939568782266,0.7195434865713158,0.6813736008581068,296.1697540236866,0.2361554569506552,1.9435339757943675,0.029667312198802746,0.00175,0.0,0.00175,16.952749827887285,0.05898748050625978
0.01,0.001,10,0.7777944824475682,0.7288724386828738,0.643972900520348,293.3987822295723,0.2742799090920016,2.0906078277503193,0.030867705857904663,0.00175,0.0,0.00175,17.638689061659807,0.05669355565508787
0.01,0.001,11,0.7765965525096818,0.7249976418734739,0.6609776769620237,296.1839927101526,0.2494457506982144,1.9876781318215093,0.028974564536858455,0.00175,0.0,0.00175,16.556894021061975,0.060397801588142265
0.01,0.001,12,0.7727101678332204,0.719698280562297,0.6716396987879076,293.64875442161514,0.20098749635508284,1.7971544362608904,0.029332303789595365,0.00175,0.0,0.00175,16.761316451197352,0.059661184902249406
0.01,0.001,13,0.7675958724780533,0.7131042331993434,0.6916759803430846,300.5261820421993,0.24875942917424254,1.98268277577671,0.028894197154389557,0.00175,0.0,0.00175,16.510969802508317,0.06056579425444057
0.01,0.001,14,0.7778621894704855,0.7273510360953958,0.6556244745488732,296.3856263769657,0.2521166803780943,1.99302287656911,0.030552588613381913,0.00175,0.0,0.00175,17.458622064789665,0.05727828899033147
0.01,0.001,15,0.778211307474562,0.7246156865594883,0.6664811669010281,298.3703618697881,0.23335518073872663,1.9304349473367055,0.03034866814700927,0.00175,0.0,0.00175,17.3420960840053,0.05766315646943653
0.01,0.001,16,0.7654946364719905,0.7115762533277771,0.6907142093184262,290.7348033373063,0.22132267747656442,1.8994969741825902,0.027684058949576814,0.00175,0.0,0.00175,15.819462256901037,0.06321327386231242
0.01,0.001,17,0.7734088127294981,0.7224264496087552,0.6656955178213433,298.4418604651163,0.29042601175024174,2.1591668234420425,0.02872989675277393,0.00175,0.0,0.00175,16.41708385872796,0.060912157640491134
0.01,0.001,18,0.7796007863299561,0.7268929590433987,0.6594099835587723,295.22448208075,0.26780954413698055,2.0659175389351043,0.02649176449894357,0.00175,0.0,0.00175,15.138151142253468,0.06605826501552156
0.01,0.001,19,0.7753541713514729,0.7182330212327804,0.6829752744961679,292.5854133873023,0.3598648014594801,2.41480306141711,0.02879962805996135,0.00175,0.0,0.00175,16.456930319977914,0.060764673639411876
0.01,0.001,20,0.7882300157032828,0.7355048340821811,0.6379800161154183,291.4494877738727,0.22744213018449955,1.9036385168010073,0.0324828632193981,0.00175,0.0,0.00175,18.56163612537034,0.05387456112412332
0.01,0.001,21,0.7781001832620648,0.723237371871085,0.6692545198646219,297.9325748320098,0.23579692453495227,1.9287431745576242,0.029975605608021656,0.00175,0.0,0.00175,17.12891749029809,0.05838080547509236
0.01,0.001,22,0.8004012036108324,0.7538872391341138,0.5948996016718605,301.0408147519482,0.2539591762179043,2.0070356102802265,0.03133394227910759,0.00175,0.0,0.00175,17.905109873775764,0.05584997841675482
0.01,0.001,23,0.7748726913430113,0.7199063697240825,0.6749553429660949,296.7280535076385,0.23967890057247132,1.957469286590786,0.030290730260768197,0.00175,0.0,0.00175,17.30898872043897,0.05777345032406025
0.01,0.001,24,0.8065202522988069,0.7613194728046051,0.569132499994214,296.3196291511513,0.23363274647272192,1.941731432979691,0.029713575933492626,0.00175,0.0,0.00175,16.97918624771007,0.05889563760070461
0.01,0.001,25,0.7750806575510831,0.7160737926040921,0.6898076191050438,299.55861115378707,0.24723859271034598,1.9964522436842564,0.03033382071766288,0.00175,0.0,0.00175,17.333611838664503,0.05769138072939833
0.01,0.001,26,0.7666083250894148,0.715253512910834,0.6978780425848515,296.9293813256221,0.23521127479034476,1.9329471092596036,0.028263275043444742,0.00175,0.0,0.00175,16.150442881968424,0.061917806669962945
0.01,0.001,27,0.7873229626189924,0.7325881268080382,0.6434286006970887,301.9085210123055,0.23073328027385287,1.910663679782381,0.03228035538713822,0.00175,0.0,0.00175,18.445917364078984,0.054212538214411035
0.01,0.001,28,0.7864606996819627,0.7337040867610107,0.6388412349817194,295.7557928214448,0.3163182343414519,2.2666098685216225,0.030942009708856636,0.00175,0.0,0.00175,17.681148405060934,0.056557412284021474
0.01,0.001,29,0.7650919636724415,0.7152392180975157,0.6840338770754312,297.8378233992216,0.2547250614443328,2.019423760823532,0.028119583613595046,0.00175,0.0,0.00175,16.068333493482882,0.062234207449427634
0.01,1.0,0,0.09049056603773585,0.09947055048121645,3.4012127448215232,294.38701886792455,3.477803220972419,14.905800205257936,0.0297250249295686,1.75,0.0,1.75,0.016985728531182055,58.87295314794536
0.01,1.0,1,0.14817925032445226,0.10022777040895499,3.3921091219438466,297.6601267272311,3.4812724397634156,15.058431343529993,0.027912301809786606,1.75,0.0,1.75,0.01594988674844949,62.696369934865615
0.01,1.0,2,0.09950626661602735,0.0991229626541334,3.4059638720669114,296.2384352449677,3.521704660175601,15.031146826640398,0.028095696518545498,1.75,0.0,1.75,0.016054683724883143,62.28711926913271
0.01,1.0,3,0.10151975683890578,0.0995966050146015,3.4006084116446673,296.5758358662614,3.446825868653832,14.819355124124321,0.028170173266316528,1.75,0.0,1.75,0.016097241866466588,62.12244360216626
0.01,1.0,4,0.0918719951923077,0.09989992487419476,3.396752773049876,293.13784555288464,3.5979921059915796,15.492659667690365,0.029862935104761287,1.75,0.0,1.75,0.017064534345577878,58.601071658257176
0.01,1.0,5,0.09862558525902432,0.09878630324838283,3.4093812365844176,295.0151789759855,3.464734541310463,14.795736858629745,0.030876388882228652,1.75,0.0,1.75,0.017643650789844943,56.67761235535019
0.01,1.0,6,0.12278027589360567,0.09986708615474459,3.3983514841284084,297.20981632497524,3.475551136449212,14.596271799611175,0.028098584450813462,1.75,0.0,1.75,0.01605633397189341,62.280717488219835
0.01,1.0,7,0.1089131423374261,0.0995619594917655,3.400831093317982,295.85470668485675,3.4863782627508044,14.738985551038876,0.03067677253605874,1.75,0.0,1.75,0.01752958430631928,57.04641835913403
0.01,1.0,8,0.11597977631377356,0.10003875844789249,3.394416861356641,298.70614371074,3.5166146921983454,15.059872360399126,0.028548071940338263,1.75,0.0,1.75,0.016313183965907578,61.300111743352446
0.01,1.0,9,0.10985509445413853,0.10007553835552833,3.3925236451813854,295.94567938699646,3.53627850668272,15.100834418543007,0.0280376923456321,1.75,0.0,1.75,0.016021538483218342,62.41597840603408
0.01,1.0,10,0.11014184935143746,0.09930286495106042,3.402665153681404,295.7287415611014,3.507479644351406,14.9940714475109,0.029661053712086074,1.75,0.0,1.75,0.016949173549763472,58.999926873364
0.01,1.0,11,0.13867888507063764,0.09975768825345022,3.3982456620126262,297.77380679648724,3.5843440373719204,15.313062589162927,0.027493435394332712,1.75,0.0,1.75,0.015710534511047265,63.651558086507144
0.01,1.0,12,0.09424083769633508,0.0994081280554069,3.4024594268444854,300.5309516476748,3.4961471591959707,14.921771821627717,0.028982389920667113,1.75,0.0,1.75,0.016561365668952634,60.38149389302394
0.01,1.0,13,0.09762269938650307,0.09952721065970134,3.4031782560284367,299.0092791411043,3.487313567980891,14.978533998201826,0.028916892374768317,1.75,0.0,1.75,0.01652393849986761,60.51825961516451
0.01,1.0,14,0.10435047155460907,0.10006255122555259,3.394117462307247,296.63599026467904,3.4730569844250567,14.871335237558162,0.030858643198083815,1.75,0.0,1.75,0.017633510398905036,56.710205590266106
0.01,1.0,15,0.1067459092312442,0.09997692736478804,3.396337079752864,300.7584902747762,3.4831158991146367,14.869725074253806,0.029021271969140387,1.75,0.0,1.75,0.016583583982365934,60.30059612345224
0.01,1.0,16,0.1128283212790255,0.09938923763779503,3.4039599085129595,296.92744575561477,3.473468839598354,14.534282405323482,0.029714445928453976,1.75,0.0,1.75,0.016979683387687985,58.893913223676634
0.01,1.0,17,0.09572441124914259,0.09953020652858717,3.401328663141977,297.29929121256004,3.459231942309998,14.645425507057412,0.02997654052797938,1.75,0.0,1.75,0.017129451730273932,58.37898467191677
0.01,1.0,18,0.10253097210610322,0.1001514450984732,3.394355903796843,296.41574827088243,3.4801428063074127,14.82089446212475,0.028411126573842493,1.75,0.0,1.75,0.01623492947076714,61.59558634366815
0.01,1.0,19,0.022435651171724934,0.09934776566722651,3.4010225609170575,299.79469842489436,3.482320700684795,14.904575278557246,0.02721737185068349,1.75,0.0,1.75,0.01555278391467628,64.29717055712172
0.01,1.0,20,0.1046018654127804,0.09943710822270803,3.4005322118274246,300.4336699298543,3.4792634922487196,14.923564432991657,0.029594884657698797,1.75,0.0,1.75,0.01691136266154217,59.1318405272026
0.01,1.0,21,0.12370124981177534,0.0998185369237819,3.397824636535976,293.6164734226773,3.485166250145994,15.072646161176005,0.030529990410983945,1.75,0.0,1.75,0.01744570880627654,57.32068619878743
0.01,1.0,22,0.10930476475876535,0.09927947783055473,3.4023003848765674,292.14189391669163,3.527309347380651,14.935027375519084,0.02796792198129157,1.75,0.0,1.75,0.015981669703595183,62.571684845610555
0.01,1.0,23,0.08402077604644058,0.09958760998768502,3.400064502745062,297.7898716773602,3.4586508225183934,14.757498123042682,0.028669457799272845,1.75,0.0,1.75,0.016382547313870198,61.0405684074146
0.01,1.0,24,0.08950687637717498,0.0989217270851885,3.4081227020372657,296.64835498822276,3.491621477965964,14.81662570235988,0.028800521838869414,1.75,0.0,1.75,0.016457441050782524,60.76278790331452
0.01,1.0,25,0.10598174549294712,0.10009097067365441,3.395141742127747,294.1476955570642,3.46754479163792,14.908481856274275,0.028077192676678592,1.75,0.0,1.75,0.016044110100959196,62.328168636801806
0.01,1.0,26,0.10031347962382445,0.10015294351828673,3.393923534036999,298.24787827815584,3.4569476101896726,14.85357346640919,0.029206130956376777,1.75,0.0,1.75,0.016689217689358157,59.918926016385285
0.01,1.0,27,0.09855050806933652,0.10003022379953844,3.3936804006938965,291.488045427376,3.563132614159258,14.87063187195888,0.03001893490674575,1.75,0.0,1.75,0.017153677089569,58.2965386825482
