mix_scale,jitter_scale,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
1e-06,0.0,0,0.9999233892591741,0.9998562608110789,0.00034881992103410494,566.938864628821,0.3242796459235251,2.290546110288828,0.029824393004045435,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17042.510288025962,5.867680189711244e-05
1e-06,0.0,1,0.999924800721913,0.9994793079316533,0.001409405685994304,556.512107083772,0.22692257713060826,1.91729610593099,0.03083763315242684,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17621.504658529622,5.674884292675619e-05
1e-06,0.0,2,0.9995436568299361,0.9993246613610348,0.0014911956742314988,562.849710982659,0.232357111555757,1.9152335209830191,0.02861666895872985,1.7500000000000002e-06,0.0,1.7500000000000002e-06,16352.382262131341,6.115316924285634e-05
1e-06,0.0,3,0.9997727789138832,0.9995250639537088,0.0013042839332466725,560.5092024539878,0.30427128833252937,2.2010896871920114,0.03086340217019357,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17636.229811539182,5.6701461178834926e-05
1e-06,0.0,4,0.9996184953456432,0.999340996452227,0.0016075823587084178,564.6502365328857,0.23992525518406183,1.9396077712276574,0.030568693207351873,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17467.824689915353,5.724811290196466e-05
1e-06,0.0,5,0.9998473165890526,0.9998029168004731,0.00048492107291716105,564.9514466753187,0.2749014667933807,2.082666980794674,0.031516679334403365,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18009.531048230492,5.5526154308068666e-05
1e-06,0.0,6,0.9998461656795631,0.9997461784231012,0.0007120656464825597,569.2024459656949,0.21585327250068076,1.8680424059340932,0.031001888938065863,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17715.365107466205,5.644817331924739e-05
1e-06,0.0,7,0.9995410738871042,0.9995260257637661,0.0010742468684081124,566.0298301973382,0.2985141602694057,2.204810069301331,0.031028441249973244,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17730.537857127565,5.639986829829904e-05
1e-06,0.0,8,0.9993933879284198,0.9993438120111082,0.0014081875492876234,561.1455868971792,0.23295442783273757,1.9238013817937172,0.031052284272110046,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17744.16244120574,5.6356562520966684e-05
1e-06,0.0,9,0.9996925914540424,0.9994727319894937,0.0011835783756506326,568.7221026744544,0.22384565343963914,1.893804039992234,0.030787315866928986,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17592.75192395942,5.6841590464201825e-05
1e-06,0.0,10,0.9995445920303605,0.9992763526143442,0.0017789817843844272,561.6982922201139,0.31645168221439235,2.262711097650826,0.030099427646158396,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17199.672940661938,5.814064043252176e-05
1e-06,0.0,11,0.9992382113201798,0.9987095055998539,0.003258231506283884,563.7485335567914,0.2496745092794299,1.9917785690122385,0.030299754918602564,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17314.145667772893,5.775624273863634e-05
1e-06,0.0,12,0.9997720191503914,0.9997084608881063,0.0007032353896277628,562.3800440762976,0.1953022114757914,1.7647772684710858,0.031182085205291907,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17818.334403023946,5.612196838276255e-05
1e-06,0.0,13,0.9993204983012458,0.999181477837157,0.0015902803000705046,558.7349943374859,0.1887648172560148,1.7583539099794414,0.028817294911647175,1.7500000000000002e-06,0.0,1.7500000000000002e-06,16467.025663798384,6.072742099372753e-05
1e-06,0.0,14,0.9996972449288526,0.9995852583827145,0.0011258731133670936,560.1280653950954,0.21213813478243537,1.8479611918982255,0.030629883448222275,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17502.7905418413,5.7133746622257167e-05
1e-06,0.0,15,0.9993902903742092,0.9988780219126924,0.0025698075132701468,564.0058684551483,0.2616756337520201,2.0233167516612953,0.029973546666814663,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17127.74095246552,5.8384815766147553e-05
1e-06,0.0,16,0.9995361063862688,0.9993873558518697,0.0014183546068893217,572.1458172259162,0.227444531978108,1.9019457274268095,0.03239195533889449,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18509.688765082563,5.4025759843484836e-05
1e-06,0.0,17,0.9991506447378581,0.9988921062264272,0.002067079463873428,571.3961084086171,0.2372307287878357,1.9457636349972889,0.031005034476570693,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17717.162558040396,5.64424465104984e-05
1e-06,0.0,18,0.9992348305149591,0.9993450300512244,0.0014810018482672243,566.2460019894406,0.24701215387904085,1.9946824715697802,0.02989401534602971,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17082.29448344555,5.85401452345351e-05
1e-06,0.0,19,0.9991645781119465,0.9990592834722583,0.0018554147636281788,562.038961038961,0.30108100443612784,2.1891854903228714,0.03296272842604439,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18835.84481488251,5.309026538644467e-05
1e-06,0.0,20,0.9988497814584771,0.9988601223709996,0.00212222513644784,567.4596273291926,0.18453466735081747,1.7317259641282872,0.030763614864268884,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17579.208493867933,5.6885382544317914e-05
1e-06,0.0,21,0.9995469304538247,0.9994708317698434,0.0011612131043000316,558.8192252510761,0.2493347150448244,1.9823648809353218,0.03314816022400358,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18941.80584228776,5.279327685681851e-05
1e-06,0.0,22,0.9997706947947719,0.9996247319008046,0.0008619330499065516,565.641137353818,0.22700013851863332,1.8797777451680493,0.030096658459552682,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17198.090548315817,5.8145989939442926e-05
1e-06,0.0,23,0.9998473981382573,0.9995287014404788,0.001262887755177962,564.6502365328857,0.2770402849128004,2.0986038197929964,0.031469971268256305,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17982.840724717887,5.560856681700315e-05
1e-06,0.0,24,0.9992949471210341,0.9989945984310754,0.0022198495831541056,579.7074030552292,0.21797257050639018,1.874172552533036,0.030965778794226444,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17694.730739557966,5.651399926444889e-05
1e-06,0.0,25,0.9996961640714015,0.9996068675304528,0.0010623748748213907,562.1241929358147,0.23544121943996288,1.931075458519833,0.029952011148379365,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17115.434941931064,5.842679449238549e-05
1e-06,0.0,26,0.9997746732762506,0.9995389826909556,0.0010677679975663813,555.8445245606129,0.25727635450311936,2.030654515948494,0.030506028275041334,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17432.016157166476,5.736571094152469e-05
1e-06,0.0,27,0.9991599847269951,0.9990382821616869,0.0019467067027090863,565.1237113402062,0.27499369386350736,2.081946148660726,0.028131509370428347,1.7500000000000002e-06,0.0,1.7500000000000002e-06,16075.148211673339,6.220782457693466e-05
1e-06,0.0,28,0.9994693753790176,0.9994258837619606,0.0010853826670876266,560.9757428744693,0.23838055771193467,1.9378294515357646,0.033257232042888156,1.7500000000000002e-06,0.0,1.7500000000000002e-06,19004.132595936087,5.2620133802573216e-05
1e-06,0.0,29,0.9991688076167448,0.9991245656398372,0.0017674127252477788,559.1985794166541,0.2324480952520389,1.924942705049531,0.030179653558077498,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17245.516318901427,5.798608644172516e-05
1e-06,0.0001,0,0.9406099518459069,0.9270829922143794,0.16252580650735363,565.641137353818,0.20680217182962224,1.8204740002886526,0.03181256314140964,1.7500000000000002e-06,0.0002,0.0002000076561034602,159.05672693326102,0.006287065119978185
1e-06,0.0001,1,0.9368268275914751,0.9218425518460417,0.17418212441182415,565.2960812772134,0.2671304417599458,2.071898037778806,0.034490410945329536,1.7500000000000002e-06,0.0002,0.0002000076561034602,172.44545342548435,0.005798935142306384
1e-06,0.0001,2,0.9596559336225927,0.9450560346983884,0.1253827311954318,563.3201644211007,0.25616250207531266,2.0149547378555623,0.029718659283786236,1.7500000000000002e-06,0.0002,0.0002000076561034602,148.58760840841677,0.006730036311314334
1e-06,0.0001,3,0.9394031207392819,0.9230643344431114,0.17178588117271804,560.5515830934706,0.22663353380630724,1.9151823460622523,0.03238059691490043,1.7500000000000002e-06,0.0002,0.0002000076561034602,161.8967870817433,0.006176774833061326
