p_s,shape,rep,stake_top_jaccard,stake_confidence,stake_top1_hit,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.02,1.1,0,0.3589635854341736,0.009680000000000001,1.0,590.767382541235,,,,,,,,
0.02,1.1,1,0.2791036414565826,0.01008,1.0,592.8835182548529,,,,,,,,
0.02,1.1,2,0.5320879120879121,0.011120000000000001,0.6,590.2388346646659,,,,,,,,
0.02,1.1,3,0.4261538461538461,0.011120000000000001,1.0,590.4508535098855,,,,,,,,
0.02,1.1,4,0.5271794871794871,0.011600000000000001,1.0,592.674340254272,,,,,,,,
0.02,1.1,5,0.22176470588235295,0.00316,1.0,595.7864715444175,,,,,,,,
0.02,1.1,6,0.24766573295985062,0.005640000000000001,1.0,593.0170903809799,,,,,,,,
0.02,1.1,7,0.5645021645021645,0.00948,1.0,592.116868336701,,,,,,,,
0.02,1.1,8,0.5903429903429903,0.011320000000000002,0.8,589.6090113739441,,,,,,,,
0.02,1.1,9,0.3490993320405085,0.010360000000000001,1.0,592.2085679385881,,,,,,,,
0.02,1.1,10,0.7521678321678322,0.01004,1.0,592.3962659645558,,,,,,,,
0.02,1.1,11,0.38556776556776556,0.00984,1.0,590.0286335223478,,,,,,,,
0.02,1.1,12,0.35170006464124115,0.00788,1.0,594.918457074614,,,,,,,,
0.02,1.1,13,0.37498168498168494,0.01072,1.0,592.7644846216458,,,,,,,,
0.02,1.1,14,0.4199267399267399,0.01144,1.0,591.8674570264977,,,,,,,,
0.02,1.1,15,0.4561172161172161,0.011680000000000001,0.84,591.2668537129447,,,,,,,,
0.02,1.1,16,0.3499418228829994,0.00984,1.0,591.9190229505973,,,,,,,,
0.02,1.1,17,0.5002197802197802,0.01072,0.64,592.1129893929856,,,,,,,,
0.02,1.1,18,0.3104180133591898,0.00916,1.0,590.6091012793175,,,,,,,,
0.02,1.1,19,0.37234432234432235,0.01052,1.0,593.485224790771,,,,,,,,
0.02,1.1,20,0.3219047619047619,0.011000000000000001,1.0,591.0784537050914,,,,,,,,
