face,N,shape,p_s,measure,mean,sem,null,excess,cell,arm,z_vs_null,times_chance
stake,100,1.3333333333333333,0.1,stake_top1_hit,0.855,0.01879455490607977,0.01,0.845,,,,
stake,1000,1.3333333333333333,0.1,stake_top1_hit,0.6743333333333332,0.032346325611712044,0.001,0.6733333333333332,,,,
stake,3000,1.3333333333333333,0.1,stake_top1_hit,0.4705000000000001,0.03679450277111609,0.0003333333333333333,0.47016666666666673,,,,
stake,100,3.0,0.1,stake_top1_hit,0.26383333333333336,0.02438176275023178,0.01,0.25383333333333336,,,,
stake,1000,3.0,0.1,stake_top1_hit,0.009833333333333335,0.0021169693645357317,0.001,0.008833333333333335,,,,
stake,3000,3.0,0.1,stake_top1_hit,0.001,0.0005724780279075998,0.0003333333333333333,0.0006666666666666668,,,,
stake,100,1.3333333333333333,0.1,stake_top_jaccard,0.855,0.018816897466163246,,,,,,
stake,1000,1.3333333333333333,0.1,stake_top_jaccard,0.11214030835006064,0.0037926199453125146,,,,,,
stake,3000,1.3333333333333333,0.1,stake_top_jaccard,0.030638745123589037,0.0010460833581865398,,,,,,
stake,100,3.0,0.1,stake_top_jaccard,0.264,0.024366023090206843,,,,,,
stake,1000,3.0,0.1,stake_top_jaccard,0.010238504758628553,0.0005027192698077524,,,,,,
stake,3000,3.0,0.1,stake_top_jaccard,0.006202190162724119,0.0001721994355399842,,,,,,
stake,100,,0.1,bandwidth_overhead,296.0571453897535,0.038748034567755746,,,,,,
stake,1000,,0.1,bandwidth_overhead,2951.798306537078,0.3576118202547498,,,,,,
stake,3000,,0.1,bandwidth_overhead,8851.824244857215,1.090850015458916,,,,,,
attribution,100,,,deanon_top1,0.10951986294467411,0.0021206829996137256,0.09969020176688916,0.009829661177784957,100,latent,4.635139329911822,1.098602079277261
attribution,1000,,,deanon_top1,0.011025649844450359,0.00019461186554703479,0.009996946739614355,0.0010287031048360033,1000,latent,5.285921811316181,1.102901729060896
attribution,3000,,,deanon_top1,0.00362075714371596,0.00012658258054013962,0.0033329942392841703,0.0002877629044317899,3000,latent,2.2733215202587815,1.086337654304975
attribution,100,,,bandwidth_overhead,296.8871615889146,0.4437871954060683,,,100,,,
attribution,1000,,,bandwidth_overhead,2941.5575056049943,4.853460555027508,,,1000,,,
attribution,3000,,,bandwidth_overhead,8875.465487632193,18.092244642655892,,,3000,,,
attribution,100,,,latency_leg,1.8752368956629653,0.0020396985088515325,,,100,,,
attribution,100,,,total_propagation,2.04929518926133,,,,100,,,
attribution,1000,,,latency_leg,1.8775747871162214,0.00150448584129834,,,1000,,,
attribution,1000,,,total_propagation,2.129408156171822,,,,1000,,,
attribution,3000,,,latency_leg,1.8785122436102635,0.0024709339326784924,,,3000,,,
attribution,3000,,,total_propagation,2.1646100319679586,,,,3000,,,
